time	V(output)
Step Information: Lval=2n Wval=2µ  (Step: 1/25)
3.032372787505093e-02	3.522247e-01
3.034011187505093e-02	2.603925e-01
3.037287987505093e-02	1.422462e-01
3.043841587505093e-02	3.103015e-02
3.050000000000000e-02	3.420066e-10
3.550000000000000e-02	3.420066e-10
3.551441008745420e-02	3.532222e-10
3.553362353739314e-02	2.210316e-03
3.557205043727102e-02	3.943869e-02
3.564890423702678e-02	4.537588e-01
3.574656048702678e-02	2.441308e+00
3.575876751827679e-02	3.507598e+00
3.576181927608928e-02	3.772040e+00
3.576792279171429e-02	3.933043e+00
3.578012982296429e-02	4.161578e+00
3.580454388546429e-02	4.487041e+00
3.581064740108929e-02	4.547919e+00
3.582285443233929e-02	4.637251e+00
3.584726849483929e-02	4.765213e+00
3.589609661983929e-02	4.935143e+00
3.590830365108929e-02	4.960945e+00
3.593271771358929e-02	4.987168e+00
3.595117187500000e-02	4.997680e+00
3.596309167717857e-02	4.999758e+00
3.597616039564285e-02	5.000001e+00
3.600000000000000e-02	5.000000e+00
4.000000000000000e-02	5.000000e+00
4.001559638658988e-02	5.000000e+00
4.003639156870972e-02	4.996853e+00
4.007798193294941e-02	4.947785e+00
4.016116266142878e-02	4.727058e+00
4.017336969267878e-02	4.662135e+00
4.019778375517878e-02	4.360142e+00
4.024661188017878e-02	2.678264e+00
4.025881891142878e-02	1.491702e+00
4.026187066924128e-02	1.227522e+00
4.026797418486628e-02	1.066737e+00
4.028018121611628e-02	8.389239e-01
4.030459527861628e-02	5.127258e-01
4.031069879424128e-02	4.516327e-01
4.032290582549129e-02	3.624484e-01
4.034731988799128e-02	2.347348e-01
4.039614801299128e-02	6.138637e-02
4.040234375000000e-02	4.689116e-02
4.041473522401744e-02	2.998331e-02
4.043951817205231e-02	7.208825e-03
4.045043410393025e-02	2.308649e-03
4.047226596768614e-02	3.119158e-04
4.050000000000000e-02	3.420015e-10
4.550000000000000e-02	3.420066e-10
4.551362107356069e-02	3.525806e-10
4.553178250497494e-02	1.681851e-03
4.556810536780343e-02	3.223686e-02
4.564075109346043e-02	3.465902e-01
4.573840734346043e-02	1.246115e+00
4.573993322236668e-02	1.283593e+00
4.574298498017917e-02	1.433355e+00
4.574908849580418e-02	1.839605e+00
4.574927923066745e-02	1.863445e+00
4.574966070039402e-02	2.101430e+00
4.575042363984715e-02	2.984773e+00
4.575061437471042e-02	3.119120e+00
4.575099584443699e-02	3.174783e+00
4.575175878389012e-02	3.259551e+00
4.575328466279636e-02	3.381030e+00
4.575633642060886e-02	3.547669e+00
4.576243993623386e-02	3.769730e+00
4.577464696748387e-02	4.052076e+00
4.579906102998386e-02	4.429439e+00
4.580516454560887e-02	4.497940e+00
4.581737157685887e-02	4.596240e+00
4.584178563935887e-02	4.736547e+00
4.589061376435886e-02	4.923148e+00
4.590282079560887e-02	4.951932e+00
4.592723485810887e-02	4.981634e+00
4.595117187500000e-02	4.998919e+00
4.595212596621773e-02	4.999249e+00
4.595403414865318e-02	4.999525e+00
4.595785051352408e-02	4.999829e+00
4.596548324326588e-02	4.999981e+00
4.598074870274949e-02	5.000000e+00
4.600000000000000e-02	5.000000e+00
5.000000000000000e-02	5.000000e+00
5.000976562500000e-02	5.000000e+00
5.002929687500000e-02	4.998289e+00
5.006835937500000e-02	4.963804e+00
5.014648437500000e-02	4.580528e+00
5.024414062500000e-02	3.514233e+00
5.024566650390625e-02	3.448989e+00
5.024871826171875e-02	3.195473e+00
5.024948120117188e-02	3.098630e+00
5.024981498718262e-02	3.022390e+00
5.024998486042023e-02	2.935388e+00
5.024999994784594e-02	2.902404e+00
5.025000000005093e-02	2.899472e+00
5.025000012505094e-02	2.362530e+00
5.025000037505094e-02	2.092745e+00
5.025000087505094e-02	2.090940e+00
5.025001587505094e-02	2.064441e+00
5.025006387505093e-02	2.028955e+00
5.025012787505093e-02	1.999850e+00
5.025025587505094e-02	1.959084e+00
5.025051187505093e-02	1.902554e+00
5.025102387505093e-02	1.824840e+00
5.025204787505094e-02	1.717577e+00
5.025409587505093e-02	1.571160e+00
5.025819187505094e-02	1.376094e+00
5.026638387505093e-02	1.124226e+00
5.028276787505093e-02	8.160200e-01
5.031553587505094e-02	4.207750e-01
5.032372787505093e-02	3.522247e-01
5.034011187505093e-02	2.603925e-01
5.037287987505094e-02	1.422462e-01
5.043841587505093e-02	3.103015e-02
5.050000000000000e-02	3.420066e-10
5.550000000000000e-02	3.420066e-10
5.551441008745420e-02	3.532222e-10
5.553362353739314e-02	2.210316e-03
5.557205043727102e-02	3.943869e-02
5.564890423702679e-02	4.537588e-01
5.574656048702679e-02	2.441308e+00
5.575876751827679e-02	3.507598e+00
5.576181927608929e-02	3.772040e+00
5.576792279171429e-02	3.933043e+00
5.578012982296429e-02	4.161578e+00
5.580454388546429e-02	4.487041e+00
5.581064740108929e-02	4.547919e+00
5.582285443233929e-02	4.637251e+00
5.584726849483929e-02	4.765213e+00
5.589609661983929e-02	4.935143e+00
5.590830365108929e-02	4.960945e+00
5.593271771358929e-02	4.987168e+00
5.595117187500000e-02	4.997680e+00
5.596309167717858e-02	4.999758e+00
5.597616039564286e-02	5.000001e+00
5.600000000000000e-02	5.000000e+00
6.000000000000000e-02	5.000000e+00
6.001559638658988e-02	5.000000e+00
6.003639156870973e-02	4.996853e+00
6.007798193294941e-02	4.947785e+00
6.016116266142878e-02	4.727058e+00
6.017336969267879e-02	4.662135e+00
6.019778375517879e-02	4.360142e+00
6.024661188017878e-02	2.678264e+00
6.025881891142879e-02	1.491702e+00
6.026187066924128e-02	1.227522e+00
6.026797418486628e-02	1.066737e+00
6.028018121611629e-02	8.389239e-01
6.030459527861629e-02	5.127258e-01
6.031069879424129e-02	4.516327e-01
6.032290582549129e-02	3.624484e-01
6.034731988799129e-02	2.347348e-01
6.039614801299129e-02	6.138637e-02
6.040234375000000e-02	4.689116e-02
6.041473522401742e-02	2.998331e-02
6.043951817205227e-02	7.208825e-03
6.045043410393031e-02	2.308649e-03
6.047226596768639e-02	3.119158e-04
6.050000000000000e-02	3.420015e-10
6.550000000000000e-02	3.420066e-10
6.551362107356391e-02	3.525806e-10
6.553178250498247e-02	1.681851e-03
6.556810536781957e-02	3.223686e-02
6.564075109349377e-02	3.465902e-01
6.573840734349376e-02	1.246115e+00
6.573993322240002e-02	1.283593e+00
6.574298498021251e-02	1.433355e+00
6.574908849583751e-02	1.839605e+00
6.574927923070079e-02	1.863445e+00
6.574966070042734e-02	2.101430e+00
6.575042363988047e-02	2.984773e+00
6.575061437474375e-02	3.119120e+00
6.575099584447031e-02	3.174783e+00
6.575175878392343e-02	3.259551e+00
6.575328466282969e-02	3.381030e+00
6.575633642064219e-02	3.547669e+00
6.576243993626718e-02	3.769730e+00
6.577464696751718e-02	4.052076e+00
6.579906103001719e-02	4.429439e+00
6.580516454564218e-02	4.497940e+00
6.581737157689219e-02	4.596240e+00
6.584178563939219e-02	4.736547e+00
6.589061376439219e-02	4.923148e+00
6.590282079564219e-02	4.951932e+00
6.592723485814220e-02	4.981634e+00
6.595117187499999e-02	4.998919e+00
6.595212596628439e-02	4.999249e+00
6.595403414885319e-02	4.999525e+00
6.595785051399079e-02	4.999829e+00
6.596548324426600e-02	4.999981e+00
6.598074870481642e-02	5.000000e+00
6.600000000000000e-02	5.000000e+00
6.999999999999999e-02	5.000000e+00
7.000976562500000e-02	5.000000e+00
7.002929687499999e-02	4.998289e+00
7.006835937499999e-02	4.963804e+00
7.014648437499998e-02	4.580528e+00
7.024414062499998e-02	3.514233e+00
7.024566650390623e-02	3.448989e+00
7.024871826171873e-02	3.195473e+00
7.024948120117186e-02	3.098630e+00
7.024981498718261e-02	3.022390e+00
7.024998486042022e-02	2.935388e+00
7.024999994784593e-02	2.902404e+00
7.025000000005092e-02	2.899472e+00
7.025000012505092e-02	2.362549e+00
7.025000037505093e-02	2.092757e+00
7.025000087505093e-02	2.090940e+00
7.025001587505092e-02	2.064441e+00
7.025006387505092e-02	2.028955e+00
7.025012787505092e-02	1.999850e+00
7.025025587505092e-02	1.959084e+00
7.025051187505092e-02	1.902554e+00
7.025102387505092e-02	1.824840e+00
7.025204787505092e-02	1.717577e+00
7.025409587505092e-02	1.571160e+00
7.025819187505092e-02	1.376095e+00
7.026638387505092e-02	1.124226e+00
7.028276787505092e-02	8.160200e-01
7.031553587505092e-02	4.207750e-01
7.032372787505092e-02	3.522247e-01
7.034011187505092e-02	2.603925e-01
7.037287987505092e-02	1.422462e-01
7.043841587505092e-02	3.103015e-02
7.049999999999999e-02	3.420066e-10
7.550000000000001e-02	3.420066e-10
7.551441008745401e-02	3.532222e-10
7.553362353739267e-02	2.210316e-03
7.557205043726999e-02	3.943869e-02
7.564890423702463e-02	4.537588e-01
7.574656048702462e-02	2.441308e+00
7.575876751827462e-02	3.507598e+00
7.576181927608712e-02	3.772040e+00
7.576792279171211e-02	3.933043e+00
7.578012982296212e-02	4.161578e+00
7.580454388546212e-02	4.487041e+00
7.581064740108712e-02	4.547919e+00
7.582285443233712e-02	4.637251e+00
7.584726849483713e-02	4.765213e+00
7.589609661983712e-02	4.935143e+00
7.590830365108713e-02	4.960945e+00
7.593271771358713e-02	4.987168e+00
7.595117187500001e-02	4.997680e+00
7.596309167717424e-02	4.999758e+00
7.597616039565155e-02	5.000001e+00
7.600000000000001e-02	5.000000e+00
8.000000000000000e-02	5.000000e+00
8.001559638668886e-02	5.000000e+00
8.003639156894067e-02	4.996853e+00
8.007798193344429e-02	4.947785e+00
8.016116266245152e-02	4.727058e+00
8.017336969370152e-02	4.662135e+00
8.019778375620153e-02	4.360142e+00
8.024661188120152e-02	2.678264e+00
8.025881891245153e-02	1.491702e+00
8.026187067026402e-02	1.227522e+00
8.026797418588902e-02	1.066737e+00
8.028018121713902e-02	8.389239e-01
8.030459527963903e-02	5.127258e-01
8.031069879526402e-02	4.516326e-01
8.032290582651402e-02	3.624484e-01
8.034731988901403e-02	2.347348e-01
8.039614801401403e-02	6.138636e-02
8.040234375000001e-02	4.689115e-02
8.041473522197197e-02	2.998331e-02
8.043951816591589e-02	7.208831e-03
8.045043411211215e-02	2.308650e-03
8.047226600450468e-02	3.119149e-04
8.050000000000000e-02	3.420015e-10
8.550000000000001e-02	3.420066e-10
8.551362149108351e-02	3.525809e-10
8.553178347919485e-02	1.682110e-03
8.556810745541754e-02	3.224042e-02
8.564075540786291e-02	3.466335e-01
8.573841165786290e-02	1.246261e+00
8.573993753676916e-02	1.283749e+00
8.574298929458166e-02	1.433604e+00
8.574909281020665e-02	1.840248e+00
8.574928354506993e-02	1.864163e+00
8.574966501479649e-02	2.102134e+00
8.575042795424961e-02	2.985076e+00
8.575061868911289e-02	3.119541e+00
8.575100015883945e-02	3.175440e+00
8.575176309829258e-02	3.260036e+00
8.575328897719883e-02	3.381343e+00
8.575634073501133e-02	3.547884e+00
8.576244425063632e-02	3.769879e+00
8.577465128188633e-02	4.052170e+00
8.579906534438633e-02	4.429487e+00
8.580516886001133e-02	4.497982e+00
8.581737589126133e-02	4.596273e+00
8.584178995376134e-02	4.736570e+00
8.589061807876133e-02	4.923158e+00
8.590282511001134e-02	4.951940e+00
8.592723917251134e-02	4.981639e+00
8.595117187500001e-02	4.998917e+00
8.595213459502267e-02	4.999251e+00
8.595406003506799e-02	4.999528e+00
8.595791091515863e-02	4.999832e+00
8.596561267533991e-02	4.999983e+00
8.598101619570246e-02	5.000000e+00
8.600000000000001e-02	5.000000e+00
9.000000000000000e-02	5.000000e+00
9.000976562500000e-02	5.000000e+00
9.002929687500000e-02	4.998289e+00
9.006835937499999e-02	4.963804e+00
9.014648437499999e-02	4.580528e+00
9.024414062499998e-02	3.514233e+00
9.024566650390624e-02	3.448989e+00
9.024871826171874e-02	3.195473e+00
9.024948120117186e-02	3.098630e+00
9.024981498718261e-02	3.022390e+00
9.024998486042023e-02	2.935388e+00
9.024999994784594e-02	2.902404e+00
9.025000000005093e-02	2.899472e+00
9.025000012505092e-02	2.362531e+00
9.025000037505093e-02	2.092745e+00
9.025000087505093e-02	2.090940e+00
9.025001587505092e-02	2.064441e+00
9.025006387505093e-02	2.028955e+00
9.025012787505092e-02	1.999850e+00
9.025025587505092e-02	1.959084e+00
9.025051187505093e-02	1.902554e+00
9.025102387505092e-02	1.824840e+00
9.025204787505092e-02	1.717577e+00
9.025409587505093e-02	1.571160e+00
9.025819187505092e-02	1.376095e+00
9.026638387505093e-02	1.124226e+00
9.028276787505092e-02	8.160200e-01
9.031553587505092e-02	4.207750e-01
9.032372787505093e-02	3.522247e-01
9.034011187505092e-02	2.603925e-01
9.037287987505092e-02	1.422462e-01
9.043841587505093e-02	3.103015e-02
9.050000000000000e-02	3.420066e-10
9.550000000000000e-02	3.420066e-10
9.551441008745400e-02	3.532222e-10
9.553362353739264e-02	2.210316e-03
9.557205043726993e-02	3.943869e-02
9.564890423702453e-02	4.537588e-01
9.574656048702453e-02	2.441308e+00
9.575876751827453e-02	3.507598e+00
9.576181927608703e-02	3.772040e+00
9.576792279171202e-02	3.933043e+00
9.578012982296202e-02	4.161578e+00
9.580454388546203e-02	4.487041e+00
9.581064740108702e-02	4.547919e+00
9.582285443233703e-02	4.637251e+00
9.584726849483703e-02	4.765213e+00
9.589609661983703e-02	4.935143e+00
9.590830365108703e-02	4.960945e+00
9.593271771358704e-02	4.987168e+00
9.595117187500000e-02	4.997680e+00
9.596309167717407e-02	4.999758e+00
9.597616039565188e-02	5.000001e+00
9.600000000000000e-02	5.000000e+00
9.994801204435781e-02	5.000000e+00
9.999999999999999e-02	5.000000e+00
Step Information: Lval=10n Wval=500n  (Step: 20/25)
