time	V(output)
Step Information: Lval=60n Wval=10µ  (Step: 1/25)
7.024948120117186e-02	3.383511e+00
7.024983882904051e-02	3.305803e+00
7.024999231100082e-02	3.223335e+00
7.025000000005092e-02	3.199033e+00
7.025000012505092e-02	1.936522e+00
7.025000015630092e-02	1.796085e+00
7.025000021880093e-02	1.795827e+00
7.025000809380093e-02	1.776454e+00
7.025003209380093e-02	1.753277e+00
7.025012809380092e-02	1.707297e+00
7.025025609380092e-02	1.669673e+00
7.025051209380093e-02	1.617541e+00
7.025102409380092e-02	1.545982e+00
7.025204809380092e-02	1.447444e+00
7.025409609380093e-02	1.313414e+00
7.025819209380092e-02	1.135862e+00
7.026638409380093e-02	9.087569e-01
7.028276809380092e-02	6.355770e-01
7.031553609380092e-02	2.939762e-01
7.032372809380093e-02	2.365802e-01
7.034011209380092e-02	1.636983e-01
7.037288009380092e-02	7.846335e-02
7.043841609380093e-02	1.316473e-02
7.049999999999999e-02	1.524448e-10
7.550000000000001e-02	1.524448e-10
7.551440989057899e-02	1.578105e-10
7.553362307801764e-02	9.778651e-06
7.557204945289495e-02	1.886402e-02
7.564890220264954e-02	3.508359e-01
7.574655845264953e-02	1.381864e+00
7.574808433155579e-02	1.450650e+00
7.574846580128235e-02	1.485899e+00
7.574922874073547e-02	1.574464e+00
7.574941947559875e-02	1.604509e+00
7.574980094532531e-02	1.685905e+00
7.574992015461486e-02	1.725670e+00
7.574998273949188e-02	1.765021e+00
7.574999931703372e-02	1.792586e+00
7.574999999995055e-02	1.799946e+00
7.574999999999603e-02	2.361867e+00
7.575000000000739e-02	3.064391e+00
7.575000000001024e-02	3.204938e+00
7.575002895810004e-02	3.244396e+00
7.575011583202597e-02	3.288213e+00
7.575046332772969e-02	3.374110e+00
7.575092665533467e-02	3.443515e+00
7.575185331054463e-02	3.538316e+00
7.575370662096452e-02	3.665678e+00
7.575741324180431e-02	3.835575e+00
7.576482648348389e-02	4.055413e+00
7.577965296684304e-02	4.322886e+00
7.580930593356136e-02	4.663047e+00
7.581671917524094e-02	4.721437e+00
7.583154565860009e-02	4.798346e+00
7.586119862531841e-02	4.894462e+00
7.592050455875506e-02	4.975747e+00
7.600000000000001e-02	5.000000e+00
7.600794954412451e-02	5.000001e+00
7.605564680887149e-02	5.000000e+00
8.000000000000000e-02	5.000000e+00
8.002929687500000e-02	5.000000e+00
8.006835937500000e-02	4.982481e+00
8.014648437499999e-02	4.679086e+00
8.024414062499999e-02	3.764323e+00
8.024566650390624e-02	3.705050e+00
8.024871826171874e-02	3.472604e+00
8.024948120117187e-02	3.383511e+00
8.024983882904052e-02	3.305803e+00
8.024999231100083e-02	3.223335e+00
8.025000000005093e-02	3.199032e+00
8.025000012505093e-02	1.935879e+00
8.025000015630093e-02	1.795654e+00
8.025000021880094e-02	1.795824e+00
8.025000809380094e-02	1.776454e+00
8.025003209380094e-02	1.753277e+00
8.025012809380093e-02	1.707297e+00
8.025025609380093e-02	1.669673e+00
8.025051209380094e-02	1.617541e+00
8.025102409380093e-02	1.545982e+00
8.025204809380093e-02	1.447444e+00
8.025409609380094e-02	1.313414e+00
8.025819209380093e-02	1.135862e+00
8.026638409380094e-02	9.087569e-01
8.028276809380093e-02	6.355770e-01
8.031553609380093e-02	2.939762e-01
8.032372809380094e-02	2.365802e-01
8.034011209380093e-02	1.636983e-01
8.037288009380093e-02	7.846335e-02
8.043841609380094e-02	1.316473e-02
8.050000000000000e-02	1.524448e-10
8.550000000000001e-02	1.524448e-10
8.551440989057899e-02	1.578105e-10
8.553362307801764e-02	9.778651e-06
8.557204945289494e-02	1.886402e-02
8.564890220264954e-02	3.508359e-01
8.574655845264953e-02	1.381864e+00
8.574808433155579e-02	1.450650e+00
8.574846580128234e-02	1.485899e+00
8.574922874073547e-02	1.574464e+00
8.574941947559875e-02	1.604509e+00
8.574980094532531e-02	1.685905e+00
8.574992015461486e-02	1.725670e+00
8.574998273949187e-02	1.765021e+00
8.574999931703371e-02	1.792586e+00
8.574999999995055e-02	1.799946e+00
8.574999999999602e-02	2.361867e+00
8.575000000000739e-02	3.064391e+00
8.575000000001023e-02	3.204938e+00
8.575002895810004e-02	3.244396e+00
8.575011583202596e-02	3.288213e+00
8.575046332772969e-02	3.374110e+00
8.575092665533467e-02	3.443515e+00
8.575185331054462e-02	3.538316e+00
8.575370662096451e-02	3.665678e+00
8.575741324180430e-02	3.835575e+00
8.576482648348388e-02	4.055413e+00
8.577965296684303e-02	4.322886e+00
8.580930593356136e-02	4.663047e+00
8.581671917524093e-02	4.721437e+00
8.583154565860009e-02	4.798346e+00
8.586119862531841e-02	4.894462e+00
8.592050455875505e-02	4.975747e+00
8.600000000000001e-02	5.000000e+00
8.600794954412450e-02	5.000001e+00
8.605564680887147e-02	5.000000e+00
9.000000000000000e-02	5.000000e+00
9.002929687500000e-02	5.000000e+00
9.006835937499999e-02	4.982481e+00
9.014648437499999e-02	4.679086e+00
9.024414062499998e-02	3.764323e+00
9.024566650390624e-02	3.705050e+00
9.024871826171874e-02	3.472604e+00
9.024948120117186e-02	3.383511e+00
9.024983882904052e-02	3.305803e+00
9.024999231100082e-02	3.223335e+00
9.025000000005093e-02	3.199032e+00
9.025000012505092e-02	1.935879e+00
9.025000015630093e-02	1.795654e+00
9.025000021880093e-02	1.795824e+00
9.025000809380093e-02	1.776454e+00
9.025003209380093e-02	1.753277e+00
9.025012809380092e-02	1.707297e+00
9.025025609380093e-02	1.669673e+00
9.025051209380093e-02	1.617541e+00
9.025102409380092e-02	1.545982e+00
9.025204809380093e-02	1.447444e+00
9.025409609380093e-02	1.313414e+00
9.025819209380093e-02	1.135862e+00
9.026638409380093e-02	9.087569e-01
9.028276809380092e-02	6.355770e-01
9.031553609380093e-02	2.939762e-01
9.032372809380093e-02	2.365802e-01
9.034011209380093e-02	1.636983e-01
9.037288009380093e-02	7.846335e-02
9.043841609380093e-02	1.316473e-02
9.050000000000000e-02	1.524448e-10
9.550000000000000e-02	1.524448e-10
9.551440989057898e-02	1.578105e-10
